,AE1,AE2,AE3,AE4,AE5,AE6,AE7,AE8
CCC complex,1.7436231,-0.89478576,0.40268204,-0.050805062,-2.3847463,0.34611344,-2.7179377,0.05557128
CCM adhesion complex,1.6910312,-0.895875,0.9727147,-0.18867044,-2.0364435,-0.46063036,-1.7484579,-0.1407233
CCR4-NOT transcription complex,1.9821702,0.2842926,0.681659,-0.3311777,-1.7757902,-0.8713561,-2.2236893,0.20888406
CD molecules,1.7589021,-1.4140948,-0.14802489,-1.883176,-1.8752863,0.36490434,-3.1503427,-0.1015825
CDC like kinases,2.3534312,-0.87416077,0.7707407,-0.8113851,-1.0128198,-0.5922155,-3.6569455,-0.14112766
CDC14 phosphatases,2.3217938,-0.11501992,-0.92851883,0.21643038,-1.5354925,-1.6777006,-1.5717194,1.3170643
CDC42 binding protein kinase family,2.5711524,0.9905573,-2.5303323,-0.719658,-1.4502431,0.05649714,-2.241452,2.1547687
CDC42 effector proteins,2.734575,-0.29916447,-1.5055996,-1.607947,-1.7950952,0.9254397,-3.3430445,1.9247471
CDC7 kinase family,2.0229034,-1.5862827,0.5978474,-0.1889589,-0.8220326,-1.9843739,-1.4056146,-0.822517
CDGSH iron sulfur domain containing,1.261959,-1.4523641,-1.357684,-0.5900507,-3.4483597,1.1401004,-1.062494,0.23547108
CDK activating kinase complex,0.9978578,-0.46339217,1.0198468,-0.65176547,-2.005792,-1.2788692,-1.5958459,1.2033181
CEA cell adhesion molecule family,0.6207869,-0.57361245,-0.9195816,-1.8879949,-1.0333043,-0.25484663,-2.7341764,0.027433435
CELSR cadherins,0.8887554,0.24750134,-1.3729827,-0.372594,-1.1310667,-0.6411908,-1.4924235,2.020828
CERF complex,3.6609452,-3.8992693,-2.362791,0.16087674,-1.9953611,-0.6223201,-3.345233,5.555266
"CILK1, MAK, MOK protein kinase family",3.2538548,-0.17163956,-1.3524137,0.34401673,-1.6682372,-1.3463297,-2.5247934,2.7819028
CKLF like MARVEL transmembrane domain containing,2.5359995,-0.9101722,-0.70563716,-0.91800475,-1.2606289,-0.32886308,-2.0901253,1.0882999
CMG helicase complex,1.0931954,-0.51797736,0.050159894,-1.0745397,-1.3345668,-2.959635,-2.1927395,-0.7194829
COMM domain containing,2.4547598,-0.76111245,1.5361966,-0.93580365,-1.6118722,0.5522759,-2.5544963,-0.47254568
COP9 signalosome,0.7298339,-1.1332428,0.39279297,1.0131696,-0.68473166,-0.6711833,-1.6833935,2.1401622
CORVET complex,1.8799009,-0.6567327,1.239722,0.2657557,-1.0929372,-0.20368402,-1.8988581,-0.13801654
CREB3 transcription factor family,3.1117523,-0.022182554,-2.4015021,-1.185821,-2.8491313,0.69137853,-3.6278942,1.3659381
CREC family,2.4705863,-0.6452935,-0.1801314,-1.5111135,-2.433648,0.20469598,-3.2249146,2.1811244
CSAG family,3.132399,-3.4307923,-1.4158378,1.9506955,-0.8362342,-1.9217271,-1.6422751,2.1464872
CST complex,2.2474325,-0.35678542,-0.08775834,-0.9715396,-1.8787179,-0.20184906,-3.232816,-0.16201429
CT antigen family 45,2.391254,-2.8013432,-1.6642517,-2.5301173,-2.2098515,-2.6731122,-1.7515981,2.8485498
CT antigen family 47,4.7028723,-2.9534774,-3.8951807,1.87386,-0.9349388,-1.6961423,-3.0890913,3.8085287
CTAGE family,2.7846572,0.27994958,-2.0189376,0.02092965,-2.0196369,-3.4334161,-2.7216036,2.2852483
CTD family phosphatases,1.5410838,-0.70354235,0.68324894,0.3992712,-1.062367,-0.93601453,-1.7051504,0.5191521
CTLH complex subunits,1.0011442,-0.17434798,0.5068498,-0.21177174,-1.0767716,-1.1132776,-1.5356419,0.9137881
CUT class homeoboxes and pseudogenes,1.6683505,-2.1415327,-2.3875983,-1.2239704,-1.2002702,0.39647692,-2.049133,1.3018634
Cadherin related,1.910383,-0.51312625,-1.219772,-0.6741802,-1.4191054,0.58967614,-1.2796226,1.4730246
Calcineurin subunits,0.736025,-2.2115138,-0.1334146,0.8015817,-0.23448431,-0.12589376,-0.843592,1.8786795
Calcitonin receptors,2.8154154,-1.3289825,0.5934848,-1.9988197,-2.5575886,1.8132292,-3.3235905,2.4628403
Calcium channel auxiliary gamma subunits,1.5407169,-3.3037014,-2.5227864,-0.36985302,-0.507414,0.95835507,-1.3413208,2.2383792
Calcium homeostasis modulators,1.5992969,-1.8193791,-0.21365422,-1.7126511,-1.1877112,0.27352756,-2.310228,1.3209158
Calcium sensing receptors,1.3400838,-0.39672098,-2.4870615,-1.1324067,-0.3947295,-0.006016113,-2.0143147,1.7715082
Calcium voltage-gated channel alpha1 subunits,2.4363766,-2.1804209,-2.0250547,1.0856228,-0.5524593,0.67347825,-1.1943939,1.8506575
Calcium voltage-gated channel auxiliary alpha2delta subunits,1.4711187,-1.8775111,-0.9878412,0.83952314,-0.61974525,0.14024325,-2.0106232,2.1326687
Calcium voltage-gated channel auxiliary beta subunits,0.73896646,-0.17173317,-1.5001721,0.579093,0.70776904,0.8823893,-0.38484037,1.8143995
Calmodulin binding transcription activators ,-0.01934456,-0.26367486,-0.43241784,0.90981257,-0.73031706,0.7241008,-0.88409555,0.63225895
Calpains,1.5030797,0.26449332,-1.2795964,-0.89184666,-1.6871829,-0.20698242,-2.6532147,0.6812221
Cannabinoid receptors,1.9479795,-2.3180711,0.516071,-0.4597339,-0.6778199,0.8698603,-1.670804,-0.5014052
Canonical Notch ligands,0.86827135,-0.30403346,-1.0016689,-1.3606845,-0.36247522,0.9328165,-1.4752338,1.24481
Canonical high mobility group,1.6852086,-0.22857884,0.30624905,-0.78506696,-1.9977317,-1.179446,-2.1635852,0.1819356
Canopy FGF signaling regulators,3.544629,-2.047751,-0.39921334,-1.5721319,-3.5871997,0.42157632,-3.2432072,1.2673905
Carbonic anhydrases,1.1654608,-0.8213687,-2.336524,-0.40252876,-0.84861493,0.16908021,-1.5678179,1.3522518
Carboxylesterases,1.4908212,-1.3461864,-1.8324803,-2.2693233,-2.6373076,0.17845567,-1.5455079,1.3941526
Cas scaffold protein family,2.1540916,-0.9344605,-0.64070886,-1.8238328,-1.5277946,0.8303777,-3.122371,0.89924294
Casein kinase 1 family,2.0428352,0.18348143,0.018246524,-0.087234005,-0.8413144,-1.1745633,-1.9379714,0.48107144
Caspase recruitment domain containing,1.7474712,-0.82223594,-0.022350945,-1.7403854,-1.6316069,0.35095596,-3.369158,-0.34365624
Caspase-2 PIDDosome complex,1.2588781,-0.9033222,-0.5861816,-0.35334957,-1.4556456,-0.9369749,-2.772126,0.66180694
Caspases,1.0083067,0.20774612,-1.8979907,-1.7261752,-2.3171027,0.20278014,-2.5179336,-0.70779204
CatSpermasome complex,2.815962,-1.008309,-1.5723498,0.56734264,-1.286523,-3.4982724,-2.6351647,3.0521252
Catalase family,2.8836045,-3.6661541,-0.68206793,-3.604224,-4.6225185,1.1978202,-3.5201857,1.2487569
Cathepsins,2.2387376,-1.2423679,0.3137841,-2.4284792,-2.9674757,0.39892793,-3.1453187,0.63321316
Caveolins,0.17093551,-0.56075406,-0.19732326,-2.1499944,-0.9692448,0.62188935,-3.665568,3.2403378
Cavins,0.86021054,-1.0629107,-0.12330028,-1.4675156,-1.3868065,0.44220984,-3.761546,3.2817662
Cellular communication network factors,2.9955223,-1.3449032,-0.43243775,-1.4056427,-2.7031655,0.20835455,-3.5058181,2.9595897
Ceramide synthases,1.6446569,-0.45494357,-0.6502796,-0.4591167,-1.0614773,-0.12819307,-0.6019659,1.3538551
Chaperonins,1.388581,-0.5509755,0.9743034,0.14821193,-2.1629024,-1.1516052,-1.1273715,1.2265341
Checkpoint clamp complex,1.0212692,-0.96364486,1.2258216,-0.7610065,-2.1395097,-0.6001171,-2.3301752,-0.18423636
Checkpoint kinase 1 family,0.9850794,-0.18307021,0.12253203,-1.3407604,-2.052765,-2.2075303,-2.4010637,-1.1990069
Checkpoint kinase 2 family,2.1771734,-0.4049385,1.4363824,-2.55505,-3.3830917,-1.7357711,-2.8347957,-0.545436
Chemerin receptors,1.0357685,-0.7498586,1.4436064,-2.333927,-1.3760735,0.32711893,-2.3939369,1.5646323
Chemokine ligands,1.5587852,-1.0289843,-0.76122427,-2.2859266,-2.165554,0.4464754,-3.195229,-0.107542224
Chitinases,2.765833,-1.8469187,-0.8166571,-1.6818365,-1.6534925,0.07701428,-2.8996,1.2997011
Chloride channel accessory,-0.2798053,0.81984806,-0.8340508,-1.9881383,-1.2672253,-0.39185506,-1.9028718,0.10358039
Chloride intracellular channels,1.3272262,-0.17890108,0.035790347,-2.0466545,-2.341809,0.73816496,-3.556445,0.7484667
Chloride voltage-gated channels,2.8443909,-2.3320084,-2.387545,0.7669028,-1.8717201,-0.048334047,-2.6066978,2.3077717
Cholecystokinin receptors,3.5051973,-2.548562,-4.09207,-0.10145624,-1.3244997,0.6547274,-3.8983712,2.1697557
Choline kinase family,4.05023,-1.8472135,-2.052692,0.69917977,-2.0301425,-0.9205174,-3.6688988,0.331018
Cholinergic receptors muscarinic,2.4545765,-1.7326562,-2.8770115,0.44506258,0.30018318,0.5338511,-0.9376019,1.5713656
Cholinergic receptors nicotinic subunits,1.126361,-2.8326075,-1.6819097,-0.028312787,-1.1185771,0.14373358,-1.9325786,2.2100735
Cholinesterase family,0.29736543,-2.3369734,-1.2903576,-0.844663,-0.8008356,0.69700885,-0.94611734,1.4536312
Chordin family,2.2574508,-2.3673012,-1.5990456,-0.7035564,-0.64761764,1.508305,-1.7105014,2.6115677
Chromatin accessibility complex,0.9666878,-0.7779032,1.1743221,-0.35355163,-2.055876,-1.4952813,-2.6979487,-0.3854389
Chromobox family,2.429747,-1.4019765,0.14240631,0.67078,-0.79094297,-0.41576082,-1.9255185,0.96054316
Chromosomal passenger complex,0.9420742,-0.22866538,0.21566454,-0.7641076,-1.1107762,-2.0471911,-1.8160667,-1.2070091
Chymotrypsin like elastases,3.7416017,-2.4549224,-4.9600296,-1.0593184,-0.5780442,0.0045491606,-4.882227,3.384021
Chymotrypsins,4.6766386,-3.2490602,-5.2865696,-0.92040026,-0.9571666,0.35328633,-5.855186,3.336538
Cilia and flagella associated,3.0908246,-1.1750365,-1.1878867,0.5378397,-1.8284127,-1.4962643,-2.533838,2.720467
Ciliogenesis and planar polarity effector complex subunits,4.117512,-1.8181915,-1.1598108,1.1663804,-1.9822817,-0.6679832,-3.46831,3.562722
Clarins,0.22246766,-0.34919444,-1.8393093,-2.0915198,-1.7410369,-0.124668226,-1.2770066,0.35265896
Class III Cys-based CDC25 phosphatases,1.7622666,-0.78912354,0.5679275,-0.69499725,-1.7281804,-2.1962295,-2.2322462,-0.54543316
Classical arrestins,2.5001822,-3.1472943,-1.2051852,-0.753847,-2.1803539,0.09744176,-1.993639,1.0783623
Clathrin subunits,0.21112704,0.014328688,-0.13337836,-0.39977056,-0.794457,0.2411773,-0.64657634,0.89621836
Claudins,1.8802402,-1.1956681,-2.4847264,-1.295181,-1.9423887,0.32683498,-2.4343755,1.525795
Cleavage and polyadenylation specific factor subunits,2.634365,-0.6077417,1.2652311,0.4787773,-1.5134664,-2.0317512,-2.1766586,0.4722478
Cleavage factor Im complex subunits,2.6475813,-0.10755863,1.3591367,0.22893642,-1.6988509,-1.2254668,-2.0169466,-0.05421748
Cleavage stimulation factor subunits,1.8665073,-0.17488872,1.0557501,0.45284522,-1.9391385,-0.67015576,-1.2287068,0.52340436
Clustered protocadherins,3.265558,-2.2279398,-2.208689,0.6172006,-0.3154238,0.6565369,-1.5889275,3.2789805
Coat protein complex I,2.3828754,0.33296132,-0.6348559,-1.274026,-2.9842265,0.4351073,-2.791661,0.94162107
Coat protein complex II,1.6067067,-0.4107327,0.29365292,-2.1822839,-2.7894604,-0.1156684,-2.2336972,0.30887845
Cohesin complex,2.886421,-0.7167547,-0.61804867,0.8715333,-0.92112803,-3.5093963,-2.1964371,1.8533545
Coiled-coil-helix-coiled-coil-helix domain containing proteins,1.3560019,-2.8128085,-2.3251367,0.25155056,-3.5647411,0.7870465,-3.5446022,1.7496947
Collagen beta(1-O)galactosyltransferases,1.6652641,-1.9570563,-0.25247744,-0.23824884,0.012753539,0.87257063,-1.5994456,1.2657018
Collagens,0.87396145,0.8359897,-0.6546692,-2.2715266,-0.9165192,0.027609006,-3.2467835,2.4342172
Complement component GPCRs,2.8448186,-3.4445307,0.7349846,-1.5406762,-1.5399559,-0.026712507,-3.1056569,-0.48212937
Complement system activation components,2.227253,-3.2143116,-0.11433212,-3.4298084,-3.3840501,0.41273284,-2.5695255,1.8356482
Complement system regulators and receptors,1.9318637,-2.374773,-0.029187597,-2.9783285,-2.354964,0.24879469,-2.4766974,1.0676302
Complexins,3.6540127,-4.2399025,-3.218134,1.5107785,-0.07172466,1.6929225,-0.5724767,1.6384491
Components of oligomeric golgi complex,2.082786,0.7251934,-0.534849,0.76300424,-1.8062395,-0.4319083,-2.2123935,1.312176
Condensin I subunits,1.2537827,-0.58481073,-0.058022596,-0.8375788,-1.498736,-2.8157892,-2.4730394,-0.8389647
Condensin II subunits,1.8021252,-0.52789915,0.86472094,0.1506667,-0.65719205,-1.7611151,-1.6101391,-0.3423982
Constitutive centromere associated network,1.4302936,-0.111243635,0.37698063,-0.63902855,-1.280394,-1.78049,-1.9608963,-0.30501863
Contactin associated protein family,0.62412447,-0.6917629,-1.1043116,-0.36390036,0.63172764,0.7681862,0.08466485,1.338403
Contactins,2.6672187,-1.4382731,-2.1051905,0.69207627,-0.63250226,0.5480446,-0.71993834,1.8913424
Copines,1.225943,-0.904037,-0.09818838,-0.5463371,-0.80461115,0.7393745,-0.38038337,-0.061015107
Cornichon family,1.4135908,-0.8625711,-0.7014685,-0.47010672,-1.2317467,0.3324983,-0.13528693,0.8820276
Cornified envelope precursor family,-0.5925716,0.8521879,-0.61013746,-2.0972226,-0.21595526,-1.0991986,-1.6082168,1.3411738
Coronins,1.2891188,-0.49386978,-0.11700622,-1.1889043,-0.8211381,0.7324493,-1.8071306,-0.09273522
Corticotropin releasing hormone receptors,0.95602703,-2.0106385,-2.2938943,-0.0013280362,0.05989831,0.49551475,-0.34814537,2.415074
Creatine kinase family,-0.17871666,0.00842759,-1.8720961,-0.18391158,-0.37109417,0.83213174,-1.5874088,1.4074398
Crumbs complex components,1.8667542,-1.3191292,-2.1252928,0.059816644,-1.4015538,0.59274006,-0.7214537,1.470593
Csk family tyrosine kinases,2.4441829,-2.4636786,-0.051317014,-0.6890508,-1.1678979,0.24589439,-2.775923,-1.3863041
Cullins,1.2528216,-0.84870887,1.0894129,0.4485128,-1.4854465,-1.6583903,-1.304667,1.4313004
Cupredoxin superfamily,0.48425794,-1.586678,-1.4915545,-0.47992158,-2.7298002,0.750849,-2.7553391,1.0574629
Cyclic nucleotide gated channels,1.8145748,-2.3128197,-2.1333866,0.15551063,-0.79849213,0.21572797,-0.8204676,2.0240934
Cyclin dependent kinases,2.001201,-0.19581892,0.020041041,-0.14397503,-1.2418087,-0.79611546,-1.5868821,0.6928348
Cyclins,1.6299233,-0.21542646,-0.21693593,-0.613567,-1.1837047,-0.7040546,-2.0832198,0.25978577
Cyclophilin peptidylprolyl isomerases,1.514802,-0.41871813,0.6037124,-0.64434576,-2.3123362,-0.5084815,-2.031097,0.324748
"Cystatins, type 1",-0.27563983,0.43405935,0.5509871,-3.0025048,-1.1706547,-0.60553086,-1.9779379,0.521027
"Cystatins, type 2",2.5649705,-1.3824173,-2.874815,-0.59077024,-0.7331607,-0.32438278,-3.4657414,2.3922048
"Cystatins, type 4",1.3151422,-3.496622,-1.9830542,-3.4523327,-2.9950144,-0.5907225,-1.3102679,1.6967806
Cysteine rich secretory protein family,1.5183767,-0.4555014,-1.9508798,-0.61351025,-0.41237316,-1.4855009,-2.9367816,1.963931
Cysteine rich transmembrane BMP regulators,2.2268329,-1.7324125,-0.13481441,-2.328142,-1.7271781,0.66332024,-2.3573744,2.6258385
Cytochrome P450 family 1,2.0717974,-3.1380618,-0.39373055,-3.147557,-2.898795,0.28494692,-2.3100078,2.152612
Cytochrome P450 family 11,1.8239565,-2.8363144,-1.1642662,-0.7294879,-2.4832802,-0.29691756,-1.7170608,2.3995764
Cytochrome P450 family 17,4.5258,-4.4430165,-2.2956917,0.59532344,-3.8419027,-1.1705068,-2.731762,3.442848
Cytochrome P450 family 2,1.0769979,-1.9632169,-1.92174,-2.6021135,-2.3815782,-0.26208937,-1.365818,1.0412668
Cytochrome P450 family 20,4.107058,-0.33322874,0.58093375,-1.1796026,-3.996279,-0.783913,-3.411537,1.0551403
Cytochrome P450 family 21,3.723838,-4.4569564,-1.9864573,-0.35074306,-3.3400474,0.8729658,-2.6012895,2.3095999
Cytochrome P450 family 24,0.6511034,-0.070358545,0.6368335,-2.0339448,-1.630908,0.12816198,-1.7925158,1.3787673
Cytochrome P450 family 26,1.2375697,-2.2063904,-1.3889269,-1.6779183,-1.7714231,-0.48987323,-0.8452475,1.8923874
Cytochrome P450 family 27,1.1732676,-1.1492946,-1.0522076,-1.0303998,-2.1953518,0.30617917,-1.0808203,1.1502562
Cytochrome P450 family 3,1.7952244,-2.7574606,-2.5287921,-2.894607,-3.1967428,0.0217174,-1.5668604,1.3465667
Cytochrome P450 family 39,2.8536372,-1.2198792,-1.8423946,-2.730562,-3.2670782,-0.81346154,-3.1882665,3.8451905
Cytochrome P450 family 4,1.2350718,-1.732652,-1.7297983,-2.1002562,-2.3335764,0.14064158,-1.2865803,1.4841051
Cytochrome P450 family 46,3.7144425,-4.6495256,-3.406507,2.136217,0.004991822,1.956767,-0.56158656,3.0909936
Cytochrome P450 family 5,3.2895057,-2.435138,0.08157166,-2.6749737,-2.6619928,1.1740391,-4.088724,-1.0512369
Cytochrome P450 family 51,3.0186334,-1.8264236,-2.4355261,-0.99610794,-2.9362457,-0.14088912,0.014760435,1.0429542
Cytochrome P450 family 7,2.6013548,-3.400248,-0.7642612,-3.1808202,-3.4984646,0.48929214,-1.7511973,2.1504512
Cytochrome P450 family 8,1.7360908,-2.063065,-0.08962426,-3.292085,-3.1020029,0.024412349,-2.443338,2.8103514
Cytochrome b561,2.315691,0.19692352,-0.9069393,-0.41478473,-1.9223258,0.75503826,-2.7238865,-0.1527404
Cytohesins,1.9000789,-0.50282604,0.16106763,-0.5879626,-0.9535151,0.06459285,-2.2807567,-0.05680771
Cytosolic iron-sulfur assembly components,1.7476828,-2.3458173,-0.99711436,0.25645334,-3.0015006,0.6794238,-3.4381378,0.6727528
D-lactate dehydrogenase family,2.7385364,-4.478351,-4.5912366,-0.7845382,-4.2111816,1.4552525,-4.3285594,3.5475624
DAN family,0.64448655,0.08167076,-1.3114777,-1.0643271,-1.4305015,0.91165745,-1.540966,0.6576478
DASH family,1.8307446,-1.2081606,-1.236899,-0.34873986,-0.74791783,0.16576613,-1.9768777,1.0619949
DAZ RNA binding protein family ,3.511208,-2.149664,-3.1498418,0.5368086,-1.7907128,-2.4394944,-4.001175,2.904546
DDB1 and CUL4 associated factors,1.8634675,-0.011927903,0.26051545,0.5885141,-1.5217112,-1.3745208,-1.9666941,0.9266951
DEAD-box helicases,1.8820657,-0.22956738,1.0694495,-0.096514896,-1.367209,-0.9909744,-1.9474978,0.3456654
DEAH-box helicases,2.1615067,0.019455835,0.6590216,-0.14170648,-1.3294121,-1.1382966,-2.1229486,0.12906142
DECID complex,2.4593387,-0.08772492,0.18453851,0.35724926,-0.85311395,-1.6804104,-2.3491924,0.0773804
DENN domain containing,2.0930266,-0.8037425,0.12185647,-0.661528,-1.7641975,0.22453435,-2.1680503,0.63033116
DEP domain containing,1.9732344,-1.1598718,-1.1910527,-0.018348247,-0.81825554,0.27002877,-1.2959025,1.1519151
DMPK kinase family,1.4400221,-1.8455017,-1.1306882,0.203883,-0.06232483,0.93197286,-1.4385879,1.169286
DNA cross-link repair family,2.1933122,-0.42585,0.8862717,-0.8123389,-2.073498,-0.43194568,-2.1661165,-0.85656816
DNA glycosylases,1.8372512,-0.69923496,-0.06032089,-0.32536882,-2.0361474,0.22947706,-2.407474,0.20110162
DNA ligases,2.697579,-0.57787573,0.2915484,0.9779075,-1.480953,-0.95727724,-1.4369166,1.1312268
DNA polymerases,1.5887951,-0.61025274,0.75096554,-0.3071472,-1.5235115,-1.2577581,-2.4040864,0.61031264
DNA/RNA methyltransferases,1.7856307,-0.20490608,0.7709094,-0.019053653,-1.7878284,-0.7708223,-1.9339206,0.669767
DNAJ (HSP40) heat shock proteins,1.99612,-1.3130962,-0.5024628,-0.020371601,-1.9996629,-0.7383821,-1.8369737,1.6588297
DOCK family Rho GEFs,1.7867643,0.00986509,0.11988833,-1.5668032,-1.4155623,0.41571844,-2.0681117,1.3707551
DREAM complex subunits,2.0446668,-0.7147162,0.5005538,-0.1301546,-1.7804072,-1.7762762,-2.7686536,0.21552627
Dbl family Rho GEFs,1.6985815,-0.15713708,-0.5778459,-0.7652558,-1.0868881,0.29511416,-1.9613853,0.9848894
Death associated protein kinases,2.2989874,-1.6849484,-0.52684885,-1.3019791,-1.5865335,0.18298979,-3.369342,-0.550708
Death effector domain containing,1.5922761,-0.7611288,0.9836245,-0.2165917,-0.69519657,-0.44219714,-2.0176158,0.7334127
Death inducing signaling complex,2.0484364,-1.236434,0.599495,-2.237207,-3.2657375,0.36092573,-4.1749067,-0.8900186
"Defensins, alpha",1.6741639,-2.2090118,-1.9963865,-1.2348543,-0.6495825,-0.5337836,-2.9769351,0.15169863
"Defensins, beta",1.2431264,-1.9260582,-2.70625,-1.225965,-1.1220696,-0.43330926,-3.3142335,2.0510087
Dehydrodolichyl diphosphate synthase ,2.5999885,0.16683349,-0.6286985,-1.0489421,-3.311849,1.1862568,-2.1485493,-0.2649374
Deoxyribonucleoside kinases,2.0923724,-0.65438855,0.69944644,-0.8878726,-2.0640857,-0.25937295,-2.0591562,-0.43994218
Depalmitoylases,1.2385702,-0.20126355,-0.42025676,-0.6240261,-1.3982002,0.27440035,-1.8664811,-0.832248
Desmosomal cadherins,-0.47244716,0.6618688,-1.122066,-1.7933927,-0.56847507,-0.58231395,-1.7407098,1.166662
Desumoylating isopeptidases,1.2723184,-0.27273992,0.9061912,-0.40188313,-2.2555425,-1.9727093,-1.1198356,1.9199271
DexD/H helicases,2.1840203,-0.57848406,1.5766041,-0.2716031,-1.7051167,-1.3926816,-2.1045003,0.17620002
Diacylglycerol O-acyltransferase 2 family,0.80445325,-1.7672514,-2.1538863,-1.8120927,-1.24679,-0.27174252,-1.482193,1.3703012
Diacylglycerol kinases,1.3519597,-0.6800866,-0.08302108,-0.08352734,-0.45566988,0.5163204,-0.76418823,0.15211023
Dihydrofolate reductase family,1.5716425,-0.8197193,0.32095662,-1.2685558,-2.788943,-0.19655707,-0.8300033,0.063083254
Diphthamide biosynthesis genes,1.4846541,-0.0742666,0.11333027,0.31990236,-1.1187351,-0.15390615,-2.2267675,1.4060766
Dishevelled binding antagonist of beta catenin family,2.5633764,-0.6969923,-0.5809583,-1.0706472,-1.6061298,0.2511558,-2.2391055,2.5645678
Dishevelled segment polarity proteins,2.490345,-0.8029363,-0.9475711,-0.0019878894,-1.7249786,0.8081629,-2.1153383,4.0988636
Dispanins,2.1125946,-2.0477197,-0.6173828,-0.89439857,-1.2584026,0.64944965,-2.3520815,1.9662517
Dispatched RND transporter family ,2.0535235,-0.786679,-1.8830986,0.8435681,-0.5440591,-0.1922476,-0.82822615,1.8815283
Divergent protein kinase domain family,1.2128857,-0.8792592,-0.08984316,-1.1141402,-0.55716234,0.3186127,-1.687011,2.33976
Divergent transcripts,2.5111668,-1.7204828,-2.0998776,0.04814224,-1.5695292,-0.48666072,-1.843024,2.1637352
Dolichyl D-mannosyl phosphate dependent mannosyltransferases,2.7351222,0.09531346,-1.0934243,-0.4108466,-1.8171794,-1.7015265,-2.0918176,2.2047822
Dolichyl-phosphate mannosyltransferase subunits,3.3525958,-1.7636185,-1.4256103,-0.54116213,-4.0930996,0.18873294,-4.6558566,1.7522986
Dopamine receptors,2.1556468,-3.1801987,-1.9113297,-1.8208686,-1.6663057,0.4982046,-0.893762,1.7433202
Doublecortin like kinase family,1.8992422,-1.9132454,-1.5850604,0.8162316,0.766318,0.55045724,-0.27353054,2.371226
Doublecortin superfamily,3.3417375,-1.7134674,-2.6471937,0.145357,-1.275042,-0.9621754,-2.7537408,3.111878
Dual oxidase family,0.85871947,1.3835542,-0.74133724,-1.2084383,-1.0640029,0.051552802,-1.9456863,0.98892534
Dual oxidase maturation factor family,0.7179044,1.0560125,-0.5845541,-1.5935515,-0.9148532,0.1619447,-2.0616546,1.0421935
Dual-specificity tyrosine-regulated kinase family,1.6324143,-0.8622942,0.0142229125,0.8256626,-1.093499,-1.3674685,-2.6516907,1.9087474
Dynactin subunits,0.4492055,-0.20891212,0.52945584,0.110689625,-0.5425672,0.2623424,-0.8824277,0.8042303
Dynamin superfamily,0.09556801,-0.74965155,0.20014706,0.6628179,-0.6445419,0.2643184,-0.3181368,0.5155034
Dynamins,1.7680769,-1.139784,-1.2108713,0.91096497,-0.11512572,1.1668614,-0.6647067,0.25417748
Dynein 1 complex subunits,0.9317,-0.6127502,-0.5634502,0.92458165,-0.028607436,0.768587,-0.33263856,1.3585753
Dynein 2 complex subunits,3.9490085,-0.029924482,-1.5970033,1.0213252,-2.4799163,-1.371094,-2.869309,2.8864672
Dynein regulatory complex,4.504942,-2.1006114,-2.2244542,1.46251,-2.1161096,-1.4736484,-3.6661453,4.043515
"Dyneins, axonemal inner arm I1/f complex subunits",3.0065928,-0.9685652,-1.3498467,0.6321901,-1.8070608,-1.3427863,-2.259713,2.7799015
"Dyneins, axonemal outer arm complex subunits",3.1964972,-1.2615255,-1.2275549,0.6132917,-1.5469393,-2.0453987,-2.523741,2.9592354
E2F transcription factors,0.31849512,-0.5581665,0.56774163,-0.7789676,-1.0937204,-1.2384769,-2.094443,-0.36914977
EF-hand domain containing,1.3438299,-0.92235065,-1.0939251,-0.34369373,-0.7176672,-0.12785067,-1.5385618,1.3827214
ELAV like RNA binding protein family,2.4477944,-2.237037,-1.516792,1.5854491,0.024413161,-0.07617758,0.23391142,1.5008903
ELMO domain containing,1.9156082,-0.5334803,-0.66076195,-0.18457155,-1.66144,0.5939317,-1.1200407,0.96657467
ELOVL fatty acid elongase family,0.82337,-0.14158669,-0.6904754,-1.5983853,-0.63541126,0.14698018,-0.2728715,0.6397471
EMAP like,1.8295007,-0.4836816,0.41834638,-0.9457103,-1.6421942,-0.40598,-1.7515931,0.5376901
EMI domain containing,4.2176614,-2.1072857,-1.9463425,0.83711153,-2.1735048,0.7985688,-3.7405612,1.9162272
EMSY complex,2.9755945,-0.31861472,1.0795728,-0.2893927,-1.7156677,-0.71344286,-2.7313728,1.2330636
ENAH/VASPs,1.5845516,0.0016456395,-0.31870124,-2.1627452,-1.8639503,0.60837483,-3.3660266,0.7529518
EPH receptors,1.5431858,-0.17745653,-1.585856,-0.21168633,-0.38816696,-0.12710436,-1.2902112,1.7877599
EPS8 signaling adaptor family,1.4783642,1.1963631,-2.0354893,-2.0920248,-2.223768,0.14840905,-2.8627894,0.77530503
ER membrane protein complex subunits,1.456523,-1.2146609,-0.68903023,0.09641999,-1.9449263,-0.047003552,-1.806345,1.6345804
ERCC excision repair associated,2.3136864,-0.34631905,0.055299662,0.40465626,-1.6550308,-0.52318025,-2.3694227,1.4948618
ESCRT-0,2.3559518,0.3971934,-0.2523364,0.29620385,-1.1809176,-0.31242996,-1.2463524,0.86797893
ESCRT-I,1.4850854,0.29115573,-0.33699572,-0.022490725,-1.1456741,-0.41992587,-1.9486194,1.2262217
ESCRT-II,0.061969288,0.6197423,0.004709564,-1.4181477,-2.7808464,0.89380443,-2.279775,-0.68287265
ESCRT-III,0.28357923,0.8166858,-0.44870743,-0.85406435,-2.1868534,0.96218,-2.201872,-0.25675017
