HGNC ID,Approved symbol,Approved name,Status,Locus type,Previous symbols,Alias symbols,Chromosome,NCBI Gene ID,Ensembl gene ID,Vega gene ID,Group ID,Group name
HGNC:50129,MIR6861,microRNA 6861,Approved,"RNA, micro",,hsa-mir-6861,12q24.13,102465519,ENSG00000283793,,476,MicroRNAs
HGNC:50052,MIR6862-1,microRNA 6862-1,Approved,"RNA, micro",,hsa-mir-6862-1,16p12.1,102465520,ENSG00000275429,,476,MicroRNAs
HGNC:50192,MIR6862-2,microRNA 6862-2,Approved,"RNA, micro",,hsa-mir-6862-2,16p11.2,102465907,ENSG00000278340,,476,MicroRNAs
HGNC:49942,MIR6863,microRNA 6863,Approved,"RNA, micro",,hsa-mir-6863,16q13,102466752,ENSG00000283471,,476,MicroRNAs
HGNC:50226,MIR6864,microRNA 6864,Approved,"RNA, micro",,hsa-mir-6864,17p13.2,102465521,ENSG00000274300,,476,MicroRNAs
HGNC:50182,MIR6865,microRNA 6865,Approved,"RNA, micro",,hsa-mir-6865,17p13.2,102465522,ENSG00000278517,,476,MicroRNAs
HGNC:49932,MIR6866,microRNA 6866,Approved,"RNA, micro",,hsa-mir-6866,17q21.1,102466986,ENSG00000284144,,476,MicroRNAs
HGNC:50134,MIR6867,microRNA 6867,Approved,"RNA, micro",,hsa-mir-6867,17q21.1,102465523,ENSG00000274621,,476,MicroRNAs
HGNC:50096,MIR6868,microRNA 6868,Approved,"RNA, micro",,hsa-mir-6868,17q25.1,102466753,ENSG00000275360,,476,MicroRNAs
HGNC:50056,MIR6869,microRNA 6869,Approved,"RNA, micro",,hsa-mir-6869,20p13,102465524,ENSG00000284436,,476,MicroRNAs
HGNC:50184,MIR6870,microRNA 6870,Approved,"RNA, micro",,hsa-mir-6870,20p12.2,102465525,ENSG00000273745,,476,MicroRNAs
HGNC:49964,MIR6871,microRNA 6871,Approved,"RNA, micro",,hsa-mir-6871,20q12,102466912,ENSG00000276169,,476,MicroRNAs
HGNC:50037,MIR6872,microRNA 6872,Approved,"RNA, micro",,hsa-mir-6872,3p21.31,102465526,ENSG00000283848,,476,MicroRNAs
HGNC:50231,MIR6873,microRNA 6873,Approved,"RNA, micro",,hsa-mir-6873,6p21.32,102466754,ENSG00000284517,,476,MicroRNAs
HGNC:50146,MIR6874,microRNA 6874,Approved,"RNA, micro",,hsa-mir-6874,7p22.1,102466203,ENSG00000283419,,476,MicroRNAs
HGNC:50015,MIR6875,microRNA 6875,Approved,"RNA, micro",,hsa-mir-6875,7q22.1,102466755,ENSG00000283821,,476,MicroRNAs
HGNC:50181,MIR6876,microRNA 6876,Approved,"RNA, micro",,hsa-mir-6876,8p21.2,102465527,ENSG00000274988,,476,MicroRNAs
HGNC:50205,MIR6877,microRNA 6877,Approved,"RNA, micro",,hsa-mir-6877,9q34.13,102465528,ENSG00000273932,,476,MicroRNAs
HGNC:50269,MIR6878,microRNA 6878,Approved,"RNA, micro",,hsa-mir-6878,1q21.2,102465529,ENSG00000283933,,476,MicroRNAs
HGNC:49957,MIR6879,microRNA 6879,Approved,"RNA, micro",,hsa-mir-6879,11q13.1,102466756,ENSG00000278851,,476,MicroRNAs
HGNC:50187,MIR6880,microRNA 6880,Approved,"RNA, micro",,hsa-mir-6880,12q24.31,102466204,ENSG00000275967,,476,MicroRNAs
HGNC:50098,MIR6881,microRNA 6881,Approved,"RNA, micro",,hsa-mir-6881,15q24.1,102465530,ENSG00000277391,,476,MicroRNAs
HGNC:49928,MIR6882,microRNA 6882,Approved,"RNA, micro",,hsa-mir-6882,15q24.1,102465531,ENSG00000275411,,476,MicroRNAs
HGNC:50019,MIR6883,microRNA 6883,Approved,"RNA, micro",,hsa-mir-6883,17p13.1,102465532,ENSG00000284117,,476,MicroRNAs
HGNC:50091,MIR6884,microRNA 6884,Approved,"RNA, micro",,hsa-mir-6884,17q21.1,102466757,ENSG00000283721,,476,MicroRNAs
HGNC:50221,MIR6885,microRNA 6885,Approved,"RNA, micro",,hsa-mir-6885,19p13.3,102465533,ENSG00000274390,,476,MicroRNAs
HGNC:50121,MIR6886,microRNA 6886,Approved,"RNA, micro",,hsa-mir-6886,19p13.2,102465534,ENSG00000284553,,476,MicroRNAs
HGNC:50065,MIR6887,microRNA 6887,Approved,"RNA, micro",,hsa-mir-6887,19q13.12,102466205,ENSG00000284065,,476,MicroRNAs
HGNC:50071,MIR6888,microRNA 6888,Approved,"RNA, micro",,hsa-mir-6888,2q24.2,102465535,ENSG00000275141,,476,MicroRNAs
HGNC:50014,MIR6889,microRNA 6889,Approved,"RNA, micro",,hsa-mir-6889,22q13.2,102466758,ENSG00000274552,,476,MicroRNAs
HGNC:49990,MIR6890,microRNA 6890,Approved,"RNA, micro",,hsa-mir-6890,3p21.31,102465536,ENSG00000284488,,476,MicroRNAs
HGNC:50243,MIR6891,microRNA 6891,Approved,"RNA, micro",,hsa-mir-6891,6p21.33,102465537,ENSG00000277402,,476,MicroRNAs
HGNC:50053,MIR6892,microRNA 6892,Approved,"RNA, micro",,hsa-mir-6892,7q34,102465538,ENSG00000278449,,476,MicroRNAs
HGNC:50130,MIR6893,microRNA 6893,Approved,"RNA, micro",,hsa-mir-6893,8q24.3,102466271,ENSG00000276598,,476,MicroRNAs
HGNC:49938,MIR6894,microRNA 6894,Approved,"RNA, micro",,hsa-mir-6894,Xp11.22,102466759,ENSG00000277474,,476,MicroRNAs
HGNC:50210,MIR6895,microRNA 6895,Approved,"RNA, micro",,hsa-mir-6895,Xp11.22,102465539,ENSG00000276575,,476,MicroRNAs
HGNC:33654,MIR708,microRNA 708,Approved,"RNA, micro",MIRN708,hsa-mir-708,11q14.1,100126333,ENSG00000211997,,476,MicroRNAs
HGNC:50085,MIR7106,microRNA 7106,Approved,"RNA, micro",,hsa-mir-7106,12q24.13,102466222,ENSG00000276908,,476,MicroRNAs
HGNC:50006,MIR7107,microRNA 7107,Approved,"RNA, micro",,hsa-mir-7107,12q24.31,102465665,ENSG00000284402,,476,MicroRNAs
HGNC:49998,MIR7108,microRNA 7108,Approved,"RNA, micro",,hsa-mir-7108,19p13.3,102466806,ENSG00000283728,,476,MicroRNAs
HGNC:50122,MIR7109,microRNA 7109,Approved,"RNA, micro",,hsa-mir-7109,22q12.2,102465666,ENSG00000284082,,476,MicroRNAs
HGNC:37316,MIR711,microRNA 711,Approved,"RNA, micro",,hsa-mir-711,3p21.31,100313843,ENSG00000284251,,476,MicroRNAs
HGNC:50024,MIR7110,microRNA 7110,Approved,"RNA, micro",,hsa-mir-7110,3q21.1,102465667,ENSG00000284421,,476,MicroRNAs
HGNC:50073,MIR7111,microRNA 7111,Approved,"RNA, micro",,hsa-mir-7111,6p21.31,102465668,ENSG00000276712,,476,MicroRNAs
HGNC:50149,MIR7112,microRNA 7112,Approved,"RNA, micro","MIR7112-2, MIR7112-1","hsa-mir-7112-2, hsa-mir-7112-1",8q24.3,102465906,ENSG00000284054,,476,MicroRNAs
HGNC:49947,MIR7113,microRNA 7113,Approved,"RNA, micro",,hsa-mir-7113,11q13.2,102465669,ENSG00000284293,,476,MicroRNAs
HGNC:50157,MIR7114,microRNA 7114,Approved,"RNA, micro",,hsa-mir-7114,9q34.3,102466223,ENSG00000284317,,476,MicroRNAs
HGNC:49982,MIR7150,microRNA 7150,Approved,"RNA, micro",,hsa-mir-7150,9q33.3,102465688,ENSG00000274932,,476,MicroRNAs
HGNC:50170,MIR7151,microRNA 7151,Approved,"RNA, micro",,hsa-mir-7151,10q21.3,102466814,ENSG00000276866,,476,MicroRNAs
HGNC:50257,MIR7152,microRNA 7152,Approved,"RNA, micro",,hsa-mir-7152,10q22.1,102465689,ENSG00000274824,,476,MicroRNAs
HGNC:50190,MIR7153,microRNA 7153,Approved,"RNA, micro",,hsa-mir-7153,18p11.21,102465690,ENSG00000283492,,476,MicroRNAs
HGNC:49972,MIR7154,microRNA 7154,Approved,"RNA, micro",,hsa-mir-7154,11p11.2,102465691,ENSG00000276639,,476,MicroRNAs
HGNC:50005,MIR7155,microRNA 7155,Approved,"RNA, micro",,hsa-mir-7155,11q13.1,102466815,ENSG00000278359,,476,MicroRNAs
HGNC:50023,MIR7156,microRNA 7156,Approved,"RNA, micro",,hsa-mir-7156,1p31.1,102466995,ENSG00000276081,,476,MicroRNAs
HGNC:50010,MIR7157,microRNA 7157,Approved,"RNA, micro",,hsa-mir-7157,2q22.1,102465692,ENSG00000283506,,476,MicroRNAs
HGNC:49971,MIR7158,microRNA 7158,Approved,"RNA, micro",,hsa-mir-7158,2p25.2,102465693,ENSG00000276733,,476,MicroRNAs
HGNC:49978,MIR7159,microRNA 7159,Approved,"RNA, micro",,hsa-mir-7159,6p21.31,102466816,ENSG00000276824,,476,MicroRNAs
HGNC:50028,MIR7160,microRNA 7160,Approved,"RNA, micro",,hsa-mir-7160,8p23.3,102465695,ENSG00000273593,,476,MicroRNAs
HGNC:49985,MIR7161,microRNA 7161,Approved,"RNA, micro",,hsa-mir-7161,6q25.3,102465694,ENSG00000278571,,476,MicroRNAs
HGNC:50189,MIR7162,microRNA 7162,Approved,"RNA, micro",,hsa-mir-7162,10p11.23,102466227,ENSG00000284277,,476,MicroRNAs
HGNC:37317,MIR718,microRNA 718,Approved,"RNA, micro",,hsa-mir-718,Xq28,100313781,ENSG00000284286,,476,MicroRNAs
HGNC:33658,MIR744,microRNA 744,Approved,"RNA, micro",MIRN744,hsa-mir-744,17p12,100126313,ENSG00000266297,,476,MicroRNAs
HGNC:49839,MIR7515,microRNA 7515,Approved,"RNA, micro",,hsa-mir-7515,2p25.2,102466235,ENSG00000283394,,476,MicroRNAs
HGNC:37307,MIR759,microRNA 759,Approved,"RNA, micro",,hsa-mir-759,13q14.3,100313778,ENSG00000211579,,476,MicroRNAs
HGNC:33666,MIR760,microRNA 760,Approved,"RNA, micro",MIRN760,hsa-mir-760,1p22.1,100126348,ENSG00000211575,,476,MicroRNAs
HGNC:37305,MIR761,microRNA 761,Approved,"RNA, micro",,hsa-mir-761,1p32.3,100313892,ENSG00000283899,,476,MicroRNAs
HGNC:37303,MIR762,microRNA 762,Approved,"RNA, micro",,hsa-mir-762,16p11.2,100313837,ENSG00000211591,,476,MicroRNAs
HGNC:37306,MIR764,microRNA 764,Approved,"RNA, micro",,hsa-mir-764,Xq23,100313838,ENSG00000212100,,476,MicroRNAs
HGNC:33141,MIR765,microRNA 765,Approved,"RNA, micro",MIRN765,hsa-mir-765,1q23.1,768220,ENSG00000211581,,476,MicroRNAs
HGNC:33139,MIR766,microRNA 766,Approved,"RNA, micro",MIRN766,hsa-mir-766,Xq24,768218,ENSG00000211578,,476,MicroRNAs
HGNC:33136,MIR767,microRNA 767,Approved,"RNA, micro",MIRN767,hsa-mir-767,Xq28,768215,ENSG00000211583,,476,MicroRNAs
HGNC:33138,MIR769,microRNA 769,Approved,"RNA, micro",MIRN769,hsa-mir-769,19q13.32,768217,ENSG00000211580,,476,MicroRNAs
HGNC:33143,MIR770,microRNA 770,Approved,"RNA, micro",MIRN770,hsa-mir-770,14q32.2,768222,ENSG00000211574,,476,MicroRNAs
HGNC:50216,MIR7702,microRNA 7702,Approved,"RNA, micro",,hsa-mir-7702,9q31.3,102465800,ENSG00000274263,,476,MicroRNAs
HGNC:50271,MIR7703,microRNA 7703,Approved,"RNA, micro",,hsa-mir-7703,14q12,102465801,ENSG00000283856,,476,MicroRNAs
HGNC:50089,MIR7704,microRNA 7704,Approved,"RNA, micro",,hsa-mir-7704,2q31.1,102465802,ENSG00000283880,,476,MicroRNAs
HGNC:50143,MIR7705,microRNA 7705,Approved,"RNA, micro",,hsa-mir-7705,8q22.3,102466854,ENSG00000284570,,476,MicroRNAs
HGNC:50110,MIR7706,microRNA 7706,Approved,"RNA, micro",,hsa-mir-7706,15q25.3,102465803,ENSG00000284160,,476,MicroRNAs
HGNC:50074,MIR7843,microRNA 7843,Approved,"RNA, micro",,hsa-mir-7843,14q24.2,102465832,ENSG00000273830,,476,MicroRNAs
HGNC:50044,MIR7844,microRNA 7844,Approved,"RNA, micro",,hsa-mir-7844,12q22,102465834,ENSG00000283818,,476,MicroRNAs
HGNC:50267,MIR7845,microRNA 7845,Approved,"RNA, micro",,hsa-mir-7845,2q33.3,102465835,ENSG00000277590,,476,MicroRNAs
HGNC:50029,MIR7846,microRNA 7846,Approved,"RNA, micro",,hsa-mir-7846,1p36.22,102465836,ENSG00000283789,,476,MicroRNAs
HGNC:50153,MIR7847,microRNA 7847,Approved,"RNA, micro",,hsa-mir-7847,11p15.5,102465993,ENSG00000284594,,476,MicroRNAs
HGNC:50058,MIR7848,microRNA 7848,Approved,"RNA, micro",,hsa-mir-7848,8q24.22,102466865,ENSG00000276961,,476,MicroRNAs
HGNC:50166,MIR7849,microRNA 7849,Approved,"RNA, micro",,hsa-mir-7849,4q31.22,102465837,ENSG00000278438,,476,MicroRNAs
HGNC:50118,MIR7850,microRNA 7850,Approved,"RNA, micro",,hsa-mir-7850,19p13.3,102465838,ENSG00000277904,,476,MicroRNAs
HGNC:50127,MIR7851,microRNA 7851,Approved,"RNA, micro",,hsa-mir-7851,12q12,102467003,ENSG00000278520,,476,MicroRNAs
HGNC:50201,MIR7852,microRNA 7852,Approved,"RNA, micro",,hsa-mir-7852,1p13.3,102465839,ENSG00000275455,,476,MicroRNAs
HGNC:49933,MIR7853,microRNA 7853,Approved,"RNA, micro",,hsa-mir-7853,6p25.1,102466866,ENSG00000263572,,476,MicroRNAs
HGNC:50047,MIR7854,microRNA 7854,Approved,"RNA, micro",,hsa-mir-7854,16q23.2,102465840,ENSG00000277255,,476,MicroRNAs
HGNC:50244,MIR7855,microRNA 7855,Approved,"RNA, micro",,hsa-mir-7855,14q23.3,102465841,ENSG00000284269,,476,MicroRNAs
HGNC:50268,MIR7856,microRNA 7856,Approved,"RNA, micro",,hsa-mir-7856,1p22.3,102465842,ENSG00000278281,,476,MicroRNAs
HGNC:50040,MIR7973-1,microRNA 7973-1,Approved,"RNA, micro",,hsa-mir-7973-1,15q21.2,102466250,ENSG00000278098,,476,MicroRNAs
HGNC:50080,MIR7973-2,microRNA 7973-2,Approved,"RNA, micro",,hsa-mir-7973-2,15q21.2,102465855,ENSG00000283614,,476,MicroRNAs
HGNC:49992,MIR7974,microRNA 7974,Approved,"RNA, micro",,hsa-mir-7974,19p13.2,102465856,ENSG00000274713,,476,MicroRNAs
HGNC:49967,MIR7975,microRNA 7975,Approved,"RNA, micro",,hsa-mir-7975,19q13.42,102466872,ENSG00000275863,,476,MicroRNAs
HGNC:50092,MIR7976,microRNA 7976,Approved,"RNA, micro",,hsa-mir-7976,3q21.3,102465857,ENSG00000276083,,476,MicroRNAs
HGNC:49969,MIR7977,microRNA 7977,Approved,"RNA, micro",,hsa-mir-7977,3q26.32,102465858,ENSG00000283333,,476,MicroRNAs
HGNC:50113,MIR7978,microRNA 7978,Approved,"RNA, micro",,hsa-mir-7978,4p15.2,102465859,ENSG00000283281,,476,MicroRNAs
HGNC:33140,MIR802,microRNA 802,Approved,"RNA, micro",MIRN802,hsa-mir-802,21q22.12,768219,ENSG00000211590,,476,MicroRNAs
HGNC:50252,MIR8052,microRNA 8052,Approved,"RNA, micro",,hsa-mir-8052,11q24.3,102466873,ENSG00000274999,,476,MicroRNAs
HGNC:50137,MIR8053,microRNA 8053,Approved,"RNA, micro",,hsa-mir-8053,4p12,102467004,ENSG00000277388,,476,MicroRNAs
HGNC:50177,MIR8054,microRNA 8054,Approved,"RNA, micro",,hsa-mir-8054,11p14.3,102465860,ENSG00000275868,,476,MicroRNAs
HGNC:50241,MIR8055,microRNA 8055,Approved,"RNA, micro",,hsa-mir-8055,8p23.1,102465861,ENSG00000276580,,476,MicroRNAs
HGNC:49948,MIR8056,microRNA 8056,Approved,"RNA, micro",,hsa-mir-8056,5q35.2,102465862,ENSG00000274994,,476,MicroRNAs
HGNC:49960,MIR8057,microRNA 8057,Approved,"RNA, micro",,hsa-mir-8057,18q11.2,102466874,ENSG00000276221,,476,MicroRNAs
HGNC:50018,MIR8058,microRNA 8058,Approved,"RNA, micro",,hsa-mir-8058,16q23.3,102465863,ENSG00000277387,,476,MicroRNAs
HGNC:50068,MIR8059,microRNA 8059,Approved,"RNA, micro",,hsa-mir-8059,17q21.33,102466918,ENSG00000278672,,476,MicroRNAs
HGNC:50180,MIR8060,microRNA 8060,Approved,"RNA, micro",,hsa-mir-8060,3q11.2,102465864,ENSG00000278103,,476,MicroRNAs
HGNC:50077,MIR8061,microRNA 8061,Approved,"RNA, micro",,hsa-mir-8061,19q13.42,102466251,ENSG00000277636,,476,MicroRNAs
HGNC:49975,MIR8062,microRNA 8062,Approved,"RNA, micro",,hsa-mir-8062,20p12.3,102465865,ENSG00000278159,,476,MicroRNAs
HGNC:50088,MIR8063,microRNA 8063,Approved,"RNA, micro",,hsa-mir-8063,15q14,102466875,ENSG00000277202,,476,MicroRNAs
HGNC:50236,MIR8064,microRNA 8064,Approved,"RNA, micro",,hsa-mir-8064,3p21.1,102465866,ENSG00000275789,,476,MicroRNAs
HGNC:49959,MIR8065,microRNA 8065,Approved,"RNA, micro",,hsa-mir-8065,16p13.3,102465867,ENSG00000273648,,476,MicroRNAs
HGNC:50043,MIR8066,microRNA 8066,Approved,"RNA, micro",,hsa-mir-8066,4q24,102465868,ENSG00000273882,,476,MicroRNAs
HGNC:49934,MIR8067,microRNA 8067,Approved,"RNA, micro",,hsa-mir-8067,15q22.2,102465869,ENSG00000277919,,476,MicroRNAs
HGNC:50238,MIR8068,microRNA 8068,Approved,"RNA, micro",,hsa-mir-8068,11p14.1,102466876,ENSG00000273912,,476,MicroRNAs
HGNC:50836,MIR8069,microRNA 8069,Approved,"RNA, micro",MIR8069-2,,21q11.2,103504736,ENSG00000278618,,476,MicroRNAs
HGNC:50274,MIR8070,microRNA 8070,Approved,"RNA, micro",,hsa-mir-8070,11p15.3,102465870,ENSG00000278529,,476,MicroRNAs
HGNC:50041,MIR8071-1,microRNA 8071-1,Approved,"RNA, micro",,hsa-mir-8071-1,14q32.33,102465871,ENSG00000274172,,476,MicroRNAs
HGNC:49958,MIR8071-2,microRNA 8071-2,Approved,"RNA, micro",,hsa-mir-8071-2,14q32.33,102466889,ENSG00000277030,,476,MicroRNAs
HGNC:50174,MIR8072,microRNA 8072,Approved,"RNA, micro",,hsa-mir-8072,12q24.31,102466877,ENSG00000284425,,476,MicroRNAs
HGNC:50131,MIR8073,microRNA 8073,Approved,"RNA, micro",,hsa-mir-8073,13q34,102465872,ENSG00000276765,,476,MicroRNAs
HGNC:50105,MIR8074,microRNA 8074,Approved,"RNA, micro",,hsa-mir-8074,19q13.41,102465873,ENSG00000278617,,476,MicroRNAs
HGNC:50172,MIR8075,microRNA 8075,Approved,"RNA, micro",,hsa-mir-8075,13q34,102465874,ENSG00000277942,,476,MicroRNAs
HGNC:49997,MIR8076,microRNA 8076,Approved,"RNA, micro",,hsa-mir-8076,3q13.2,102466253,ENSG00000275670,,476,MicroRNAs
HGNC:50266,MIR8077,microRNA 8077,Approved,"RNA, micro",,hsa-mir-8077,19q13.2,102465875,ENSG00000277533,,476,MicroRNAs
HGNC:50102,MIR8078,microRNA 8078,Approved,"RNA, micro",,hsa-mir-8078,18p11.32,102466878,ENSG00000277521,,476,MicroRNAs
HGNC:50021,MIR8079,microRNA 8079,Approved,"RNA, micro",,hsa-mir-8079,13q14.11,102465876,ENSG00000276319,,476,MicroRNAs
HGNC:49989,MIR8080,microRNA 8080,Approved,"RNA, micro",,hsa-mir-8080,2p12,102465877,ENSG00000276917,,476,MicroRNAs
HGNC:50123,MIR8081,microRNA 8081,Approved,"RNA, micro",,hsa-mir-8081,9q31.2,102465995,ENSG00000277889,,476,MicroRNAs
HGNC:50111,MIR8082,microRNA 8082,Approved,"RNA, micro",,hsa-mir-8082,4q25,102465878,ENSG00000275810,,476,MicroRNAs
HGNC:50211,MIR8083,microRNA 8083,Approved,"RNA, micro",,hsa-mir-8083,1q21.3,102466879,ENSG00000274940,,476,MicroRNAs
HGNC:50075,MIR8084,microRNA 8084,Approved,"RNA, micro",,hsa-mir-8084,8q22.1,102467005,ENSG00000277063,,476,MicroRNAs
HGNC:50120,MIR8085,microRNA 8085,Approved,"RNA, micro",,hsa-mir-8085,19q13.32,102465879,ENSG00000284258,,476,MicroRNAs
HGNC:50107,MIR8086,microRNA 8086,Approved,"RNA, micro",,hsa-mir-8086,10p12.1,102465880,ENSG00000275036,,476,MicroRNAs
HGNC:50059,MIR8087,microRNA 8087,Approved,"RNA, micro",,hsa-mir-8087,11p14.1,102465881,ENSG00000278483,,476,MicroRNAs
HGNC:50167,MIR8088,microRNA 8088,Approved,"RNA, micro",,hsa-mir-8088,Xp11.22,102466880,ENSG00000275335,,476,MicroRNAs
HGNC:50196,MIR8089,microRNA 8089,Approved,"RNA, micro",,hsa-mir-8089,5q35.3,102465882,ENSG00000277912,,476,MicroRNAs
HGNC:50839,MIR8485,microRNA 8485,Approved,"RNA, micro",,,2p16.3,103504737,ENSG00000216191,,476,MicroRNAs
HGNC:33663,MIR873,microRNA 873,Approved,"RNA, micro",MIRN873,hsa-mir-873,9p21.1,100126316,ENSG00000215939,,476,MicroRNAs
HGNC:33643,MIR874,microRNA 874,Approved,"RNA, micro",MIRN874,hsa-mir-874,5q31.2,100126343,ENSG00000216009,,476,MicroRNAs
HGNC:33652,MIR875,microRNA 875,Approved,"RNA, micro",MIRN875,hsa-mir-875,8q22.2,100126309,ENSG00000216069,,476,MicroRNAs
HGNC:33653,MIR876,microRNA 876,Approved,"RNA, micro",MIRN876,hsa-mir-876,9p21.1,100126310,ENSG00000215966,,476,MicroRNAs
HGNC:33660,MIR877,microRNA 877,Approved,"RNA, micro",MIRN877,hsa-mir-877,6p21.33,100126314,ENSG00000216101,,476,MicroRNAs
HGNC:33659,MIR885,microRNA 885,Approved,"RNA, micro",MIRN885,hsa-mir-885,3p25.3,100126334,ENSG00000216135,,476,MicroRNAs
HGNC:33661,MIR887,microRNA 887,Approved,"RNA, micro",MIRN887,hsa-mir-887,5p15.1,100126347,ENSG00000216077,,476,MicroRNAs
HGNC:33651,MIR889,microRNA 889,Approved,"RNA, micro",MIRN889,hsa-mir-889,14q32.31,100126345,ENSG00000216099,,476,MicroRNAs
HGNC:33670,MIR920,microRNA 920,Approved,"RNA, micro",MIRN920,hsa-mir-920,12p12.1,100126320,ENSG00000216192,,476,MicroRNAs
HGNC:33671,MIR921,microRNA 921,Approved,"RNA, micro",MIRN921,hsa-mir-921,1q24.1,100126349,ENSG00000215952,,476,MicroRNAs
HGNC:33672,MIR922,microRNA 922,Approved,"RNA, micro",MIRN922,hsa-mir-922,3q29,100126321,ENSG00000284146,,476,MicroRNAs
HGNC:33674,MIR924,microRNA 924,Approved,"RNA, micro",MIRN924,hsa-mir-924,18q12.3,100126323,ENSG00000283615,,476,MicroRNAs
HGNC:33676,MIR933,microRNA 933,Approved,"RNA, micro",MIRN933,hsa-mir-933,2q31.1,100126350,ENSG00000215973,,476,MicroRNAs
HGNC:33677,MIR934,microRNA 934,Approved,"RNA, micro",MIRN934,hsa-mir-934,Xq26.3,100126324,ENSG00000216060,,476,MicroRNAs
HGNC:33678,MIR935,microRNA 935,Approved,"RNA, micro",MIRN935,hsa-mir-935,19q13.42,100126325,ENSG00000284583,,476,MicroRNAs
HGNC:33679,MIR936,microRNA 936,Approved,"RNA, micro",MIRN936,hsa-mir-936,10q25.1,100126326,ENSG00000283788,,476,MicroRNAs
HGNC:33680,MIR937,microRNA 937,Approved,"RNA, micro",MIRN937,hsa-mir-937,8q24.3,100126338,ENSG00000284224,,476,MicroRNAs
HGNC:33681,MIR938,microRNA 938,Approved,"RNA, micro",MIRN938,hsa-mir-938,10p11.23,100126327,ENSG00000216035,,476,MicroRNAs
HGNC:33682,MIR939,microRNA 939,Approved,"RNA, micro",MIRN939,hsa-mir-939,8q24.3,100126351,ENSG00000284310,,476,MicroRNAs
HGNC:33683,MIR940,microRNA 940,Approved,"RNA, micro",MIRN940,hsa-mir-940,16p13.3,100126328,ENSG00000284346,,476,MicroRNAs
HGNC:33684,MIR941-1,microRNA 941-1,Approved,"RNA, micro",MIRN941-1,hsa-mir-941-1,20q13.33,100126329,ENSG00000283206,,476,MicroRNAs
HGNC:33685,MIR941-2,microRNA 941-2,Approved,"RNA, micro",MIRN941-2,hsa-mir-941-2,20q13.33,100126339,ENSG00000216141,,476,MicroRNAs
HGNC:33686,MIR941-3,microRNA 941-3,Approved,"RNA, micro",MIRN941-3,hsa-mir-941-3,20q13.33,100126352,ENSG00000283513,,476,MicroRNAs
HGNC:33687,MIR941-4,microRNA 941-4,Approved,"RNA, micro",MIRN941-4,hsa-mir-941-4,20q13.33,100126330,ENSG00000216195,,476,MicroRNAs
HGNC:50845,MIR941-5,microRNA 941-5,Approved,"RNA, micro",,,20q13.33,103504732,ENSG00000275842,,476,MicroRNAs
HGNC:33688,MIR942,microRNA 942,Approved,"RNA, micro",MIRN942,hsa-mir-942,1p13.1,100126331,ENSG00000215930,,476,MicroRNAs
HGNC:33689,MIR943,microRNA 943,Approved,"RNA, micro",MIRN943,hsa-mir-943,4p16.3,100126332,ENSG00000284587,,476,MicroRNAs
HGNC:33690,MIR944,microRNA 944,Approved,"RNA, micro",MIRN944,hsa-mir-944,3q28,100126340,ENSG00000216058,,476,MicroRNAs
HGNC:50841,MIR9500,microRNA 9500,Approved,"RNA, micro",,,2q35,103504730,ENSG00000283639,,476,MicroRNAs
HGNC:31648,MIR96,microRNA 96,Approved,"RNA, micro","MIRN96, DFNA50",hsa-mir-96,7q32.2,407053,ENSG00000199158,,476,MicroRNAs
HGNC:53988,MIR9718,microRNA 9718,Approved,"RNA, micro",,hsa-mir-9718,14q23.1,113218481,,,476,MicroRNAs
HGNC:53989,MIR9851,microRNA 9851,Approved,"RNA, micro",,hsa-mir-9851,10q25.3,113218494,,,476,MicroRNAs
HGNC:53990,MIR9898,microRNA 9898,Approved,"RNA, micro",,hsa-mir-9898,12q13.13,113218482,,,476,MicroRNAs
HGNC:53991,MIR9899,microRNA 9899,Approved,"RNA, micro",,hsa-mir-9899,2q23.2,113218495,,,476,MicroRNAs
HGNC:53992,MIR9900,microRNA 9900,Approved,"RNA, micro",,hsa-mir-9900,3q13.2,113218483,,,476,MicroRNAs
HGNC:53993,MIR9901,microRNA 9901,Approved,"RNA, micro",,hsa-mir-9901,16p11.2,113218496,,,476,MicroRNAs
HGNC:53994,MIR9902-1,microRNA 9902-1,Approved,"RNA, micro",,hsa-mir-9902-1,12q24.31,113218484,,,476,MicroRNAs
HGNC:53995,MIR9902-2,microRNA 9902-2,Approved,"RNA, micro",,hsa-mir-9902-2,12q24.31,113218511,,,476,MicroRNAs
HGNC:53996,MIR9903,microRNA 9903,Approved,"RNA, micro",,hsa-mir-9903,8q22.2,113218497,,,476,MicroRNAs
HGNC:53997,MIR9983,microRNA 9983,Approved,"RNA, micro",,hsa-mir-9983,6p21.2,113218508,,,476,MicroRNAs
HGNC:53998,MIR9985,microRNA 9985,Approved,"RNA, micro",,hsa-mir-9985,Yp11.2,113218498,,,476,MicroRNAs
HGNC:53999,MIR9986,microRNA 9986,Approved,"RNA, micro",,hsa-mir-9986,2q21.2,113218485,,,476,MicroRNAs
HGNC:2068,CLK1,CDC like kinase 1,Approved,gene with protein product,,,2q33.1,1195,ENSG00000013441,OTTHUMG00000132784,480,CDC like kinases
HGNC:2069,CLK2,CDC like kinase 2,Approved,gene with protein product,,,1q22,1196,ENSG00000176444,OTTHUMG00000035873,480,CDC like kinases
HGNC:2071,CLK3,CDC like kinase 3,Approved,gene with protein product,,,15q24.1,1198,ENSG00000179335,OTTHUMG00000141320,480,CDC like kinases
